client,  held,    available, total,  locked
001,     0.00,    0.00,      0.00,    False
002,     0.00,    0.00,      0.00,    False
003,     0.00,    0.00,      0.00,    False
004,     0.00,    0.00,      0.00,    False
005,     0.00,    0.00,      0.00,    False
006,     0.00,    0.00,      0.00,    False
007,     0.00,    0.00,      0.00,    False
008,     0.00,    0.00,      0.00,    False
009,     0.00,    0.00,      0.00,    False
010,     0.00,    0.00,      0.00,    False
011,     0.00,    0.00,      0.00,    False
012,     0.00,    0.00,      0.00,    False
013,     0.00,    0.00,      0.00,    False
014,     0.00,    0.00,      0.00,    False
015,     0.00,    0.00,      0.00,    False
016,     0.00,    0.00,      0.00,    False
017,     0.00,    0.00,      0.00,    False
018,     0.00,    0.00,      0.00,    False
019,     0.00,    0.00,      0.00,    False
020,     0.00,    0.00,      0.00,    False
021,     0.00,    0.00,      0.00,    False
022,     0.00,    0.00,      0.00,    False
022,     0.00,    0.00,      0.00,    False
023,     0.00,    0.00,      0.00,    False
024,     0.00,    0.00,      0.00,    False
025,     0.00,    0.00,      0.00,    False
026,     0.00,    0.00,      0.00,    False
027,     0.00,    0.00,      0.00,    False
028,     0.00,    0.00,      0.00,    False
029,     0.00,    0.00,      0.00,    False
030,     0.00,    0.00,      0.00,    False
031,     0.00,    0.00,      0.00,    False
032,     0.00,    0.00,      0.00,    False
032,     0.00,    0.00,      0.00,    False
033,     0.00,    0.00,      0.00,    False
034,     0.00,    0.00,      0.00,    False
035,     0.00,    0.00,      0.00,    False
036,     0.00,    0.00,      0.00,    False
037,     0.00,    0.00,      0.00,    False
038,     0.00,    0.00,      0.00,    False
039,     0.00,    0.00,      0.00,    False
040,     0.00,    0.00,      0.00,    False
041,     0.00,    0.00,      0.00,    False
042,     0.00,    0.00,      0.00,    False
042,     0.00,    0.00,      0.00,    False
043,     0.00,    0.00,      0.00,    False
044,     0.00,    0.00,      0.00,    False
045,     0.00,    0.00,      0.00,    False
046,     0.00,    0.00,      0.00,    False
047,     0.00,    0.00,      0.00,    False
048,     0.00,    0.00,      0.00,    False
049,     0.00,    0.00,      0.00,    False
050,     0.00,    0.00,      0.00,    False